message,url,label
Alert: Your account will be closed if you don't verify,https://instant-rewardslogin.net,spam
Welcome to our newsletter. Unsubscribe anytime,https://vaccineportal.in,ham
Your wallet has been credited with Rs.1500. Redeem here,https://verify-now.org,spam
URGENT: Your UPI payment of Rs.1000 failed. Click to retry,https://secure-login-.org,spam
Library books due in 3 days. Renew if needed,https://citybus-services.net,ham
Appointment reminder: Doctor visit tomorrow at 3 PM,https://citybus.in,ham
URGENT: Your order has been cancelled. Click to reorder,https://verify-now78.in,spam
Your order has been shipped. Track here,https://metro-services.org.in,ham
Hi — Please review the attached document,https://paymentportal-portal.net,ham
Team lunch tomorrow at 1 PM. RSVP please,https://unicampus.co.in,ham
Your subscription expires in 3 days Thanks.,https://paymentportal-online.co.in,ham
Hi — Meeting scheduled for tomorrow at 10 AM,https://gov-utility-services.org,ham
Government scheme offering money - claim now,https://verifyacc-.online,spam
Get rich quick scheme. Invest Rs.250 and earn Rs.1500 in 10 days Click here.,https://verifyacc783.co,spam
Security alert: Unusual activity detected on your account,https://cashbackhub-.online,spam
Invoice for your recent purchase is attached,https://university-services.org.in,ham
Alert: Free iPhone! Just pay shipping charges,https://invoice-center-.org,spam
Alert: Activate your premium access by verifying here,https://prizeclaim59.store,spam
Alert: You have won a lottery of $1000. Contact us immediately,https://billing-servicesecure.com,spam
Your order has been cancelled. Click to reorder,https://supportdesk-.online,spam
Library books due in 3 days. Renew if needed,https://city-rail.org,ham
Attention: Claim cashback of Rs.5000 now. Limited time!,https://claim-prizesecure.org,spam
Payment received. Thank you for your transaction,https://citybus12.gov.in,ham
Appointment reminder: Doctor visit tomorrow at 3 PM,https://railways-online.co,ham
COVID vaccine available. Book appointment now,https://alertscenter531.co,spam
Alert: Your account will be closed if you don't verify,https://discounts-24login.store,spam
Alert: Security alert: Unusual activity detected on your account,https://claim-prize.com,spam
Hi — Invoice for your recent purchase is attached,https://irctc-services.in,ham
Campus Wi-Fi maintenance scheduled tonight,https://vaccineportal-portal.org.in,ham
Library books due in 3 days. Renew if needed,https://healthdept52.gov.in,ham
Attention: Important: Tax refund available. Click to claim,https://alertscenter.net,spam
You've been selected for a secret shopper program. Reply now,https://offers-zonesecure.store,spam
You have won a lottery of $10000. Contact us immediately Click here.,https://alertscenter-.org,spam
Your KYC is pending. Update now Click here.,https://account-updatelogin.com,spam
Your wallet has been credited with Rs.100. Redeem here Click here.,https://shop-deals-.net,spam
Get rich quick scheme. Invest Rs.2000 and earn Rs.250 in 7 days Click here.,https://bank-verify-.com,spam
Campus Wi-Fi maintenance scheduled tonight,https://trainbook98.org,ham
"Hello, how are you today?",https://trainbook.co.in,ham
Hi — Your order has been shipped. Track here,https://collegeportal.org.in,ham
Your electricity bill for this month is Rs.1500,https://paymentportal-portal.gov.in,ham
URGENT: Limited seats available. Book now to save 90% Click here.,https://cashbackhub-.org,spam
Hi — Please review the attached document,https://collegeportal32.net,ham
Quarterly report attached. Please review before Monday,https://nationalrail.net,ham
Your reservation is confirmed. See details,https://collegeportal-online.in,ham
"Hello, how are you today?",https://taxdept-portal.org.in,ham
Your order has been shipped. Track here,https://city-rail-services.org,ham
Your wallet has been credited with Rs.5000. Redeem here,https://shop-dealslogin.site,spam
Free iPhone! Just pay shipping charges,https://bank-verifylogin.com,spam
Project deadline reminder: Submit by Friday,https://trainbook.org,ham
Campus Wi-Fi maintenance scheduled tonight,https://unicampus48.net,ham
Earn money from home without investment,https://alertscenter335.online,spam
Limited seats available. Book now to save 20% Click here.,https://supportdesksecure.net,spam
Your order has been shipped. Track here,https://paymentportal36.co.in,ham
Your monthly bank statement is ready for download,https://civicservices.co.in,ham
Government scheme offering money - claim now,https://alertscenter.net,spam
Hi — Welcome to our newsletter. Unsubscribe anytime,https://taxdept-services.gov.in,ham
Your KYC is pending. Update now,https://shop-deals764.site,spam
Your UPI payment of Rs.2000 failed. Click to retry,https://billing-servicesecure.site,spam
Campus Wi-Fi maintenance scheduled tonight,https://civicservices.org,ham
Your account will be closed if you don't verify Click here.,https://offers-zone-.store,spam
Alert: You have won a lottery of $50000. Contact us immediately Click here.,https://prizeclaimsecure.in,spam
Congratulations! You have won $500. Click here to claim now!,https://billing-service891.in,spam
Hi — Meeting scheduled for tomorrow at 10 AM Thanks.,https://citygov-services.net,ham
Security alert: Unusual activity detected on your account,https://promo-offers884.org,spam
Invoice for your recent purchase is attached,https://irctc-portal.co,ham
Please review the attached document,https://railways-portal.gov.in,ham
