message,url,label
Thank you for your purchase. Your order #81082 is being processed,https://portal.railways.in,ham
Order confirmation: #10964. Expected delivery 15th,https://online.university.edu,ham
VIP discount code: CODE335. Save $50 on your purchase,https://update-bank-verify.online,spam
Invoice #1877 for your recent purchase is attached,https://services.railways.in,ham
"Bitcoin giveaway: Send $100, receive $6000 back",https://update-secure-login.com,spam
Flash sale: furniture for only Rs.1000. 20% off. Update now,https://update-win-now.site,spam
Earn €5000 from home without investment. Verify now,https://login-cashback-hub.co,spam
Congratulations on your promotion,https://portal.company.com,ham
Thank you for your purchase. Your order #61990 is being processed,https://services.citybus.gov.in,ham
Order confirmation: #76451. Expected delivery next week,https://www.bank-official.com,ham
Invoice #1868 for your recent purchase is attached,https://portal.edu.org,ham
Booking confirmed: cloud storage on end of month at 3 PM,https://services.edu.org,ham
Order confirmation: #93555. Expected delivery Tuesday,https://www.bank-official.com,ham
Mandatory information update for debit card users. Reply immediately,https://instant-rewards.site,spam
Your internet bill for this month is $1500,https://online.university.edu,ham
Thank you for your purchase. Your order #13990 is being processed,https://online.railways.in,ham
VIP discount code: CODE619. Save €2500 on your purchase,https://secure-prize-claim.store,spam
Community notice: conference on Tuesday,https://portal.gov.in,ham
Your credit card payment of €2000 failed. Click to retry,https://account-win-now.site,spam
Order confirmation: #33290. Expected delivery Monday,https://amazon.com,ham
Get rich quick scheme. Invest Rs.1000 and earn Rs.200000 in 24 hours,https://bank-verify.online,spam
"Exclusive deal: Buy laptop, get laptop free. Hurry!",https://win-now.site,spam
Order confirmation: #77772. Expected delivery next week,https://gov.in,ham
Free shoes! Just pay £10000 shipping charges,https://secure-win-now.site,spam
Security warning: Your Apple credentials have been compromised. Click here,https://cashback-hub.co,spam
"Bitcoin giveaway: Send €5000, receive €500 back",https://update-secure-login.com,spam
Thank you for your purchase. Your order #69519 is being processed,https://online.edu.org,ham
Invoice #7815 for your recent purchase is attached,https://online.university.edu,ham
Cashback offer: Get €10000 back on purchases above €45000,https://login-cashback-hub.co,spam
Invoice #2127 for your recent purchase is attached,https://www.citybus.gov.in,ham
Thank you for your purchase. Your order #24895 is being processed,https://railways.in,ham
Order confirmation: #88655. Expected delivery tomorrow,https://online.gov.in,ham
Get rich quick scheme. Invest Rs.500 and earn Rs.100000 in 10 days,https://account-win-now.site,spam
Order confirmation: #47401. Expected delivery 15th,https://www.company.com,ham
Thank you for your purchase. Your order #27416 is being processed,https://www.amazon.com,ham
Order confirmation: #78138. Expected delivery Monday,https://www.gov.in,ham
Flash sale: gift cards for only $250. 90% off. Act now,https://instant-rewards.site,spam
Your internet bill for this month is €10000,https://services.university.edu,ham
Invoice #7917 for your recent purchase is attached,https://edu.org,ham
Make £5000 per month working from home. No experience needed,https://secure-verify-now.org,spam
Get rich quick scheme. Invest $250 and earn $25000 in 3 days,https://account-verify-now.org,spam
Invoice #6003 for your recent purchase is attached,https://portal.university.edu,ham
Thank you for your purchase. Your order #92122 is being processed,https://www.railways.in,ham
Order confirmation: #18596. Expected delivery end of month,https://www.gov.in,ham
Your credit card balance is negative. Pay €2000 immediately,https://instant-rewards.site,spam
Invoice #6247 for your recent purchase is attached,https://services.bank-official.com,ham
